Numeric Category,Category,F1-Score,Accuracy,Precission,Recall
0,Airport,0.9589041,0.9722222,0.9459459,0.9722222
1,BareLand,0.91803277,0.9032258,0.93333334,0.9032258
2,BaseballField,1.0,1.0,1.0,1.0
3,Beach,1.0,1.0,1.0,1.0
4,Bridge,0.9859155,0.9722222,1.0,0.9722222
5,Center,0.85714287,0.9230769,0.8,0.9230769
6,Church,0.9583333,0.9583333,0.9583333,0.9583333
7,Commercial,0.8974359,1.0,0.81395346,1.0
8,DenseResidential,0.95238096,0.9756098,0.9302326,0.9756098
9,Desert,0.9,0.9,0.9,0.9
10,Farmland,1.0,1.0,1.0,1.0
11,Forest,1.0,1.0,1.0,1.0
12,Industrial,0.95,0.974359,0.9268293,0.974359
13,Meadow,1.0,1.0,1.0,1.0
14,MediumResidential,1.0,1.0,1.0,1.0
15,Mountain,0.98507464,0.9705882,1.0,0.9705882
16,Park,0.8955224,0.85714287,0.9375,0.85714287
17,Parking,0.987013,0.974359,1.0,0.974359
18,Playground,0.9866667,1.0,0.9736842,1.0
19,Pond,0.96385545,0.95238096,0.9756098,0.95238096
20,Port,0.9866667,0.9736842,1.0,0.9736842
21,RailwayStation,0.9433962,0.96153843,0.9259259,0.96153843
22,Resort,0.82758623,0.82758623,0.82758623,0.82758623
23,River,0.9879518,1.0,0.97619045,1.0
24,School,0.8301887,0.73333335,0.95652175,0.73333335
25,SparseResidential,0.9830508,0.96666664,1.0,0.96666664
26,Square,0.8,0.7878788,0.8125,0.7878788
27,Stadium,0.9259259,0.86206895,1.0,0.86206895
28,StorageTanks,0.9315069,0.9444444,0.9189189,0.9444444
29,Viaduct,0.9882353,1.0,0.9767442,1.0
