Class_name,F1_values,Accuracy,Precission,Recall
Airport,0.98630136,1.0,0.972973,1.0
BareLand,0.9677419,0.9677419,0.9677419,0.9677419
BaseballField,0.95652175,1.0,0.9166667,1.0
Beach,1.0,1.0,1.0,1.0
Bridge,0.9859155,0.9722222,1.0,0.9722222
Center,0.8627451,0.84615386,0.88,0.84615386
Church,0.9230769,1.0,0.85714287,1.0
Commercial,0.92105263,1.0,0.85365856,1.0
DenseResidential,0.97619045,1.0,0.95348835,1.0
Desert,0.9655172,0.93333334,1.0,0.93333334
Farmland,0.96,0.972973,0.94736844,0.972973
Forest,1.0,1.0,1.0,1.0
Industrial,0.9,0.9230769,0.8780488,0.9230769
Meadow,0.98245615,1.0,0.9655172,1.0
MediumResidential,1.0,1.0,1.0,1.0
Mountain,0.98550725,1.0,0.9714286,1.0
Park,0.82539684,0.74285716,0.9285714,0.74285716
Parking,0.9736842,0.94871795,1.0,0.94871795
Playground,0.972973,0.972973,0.972973,0.972973
Pond,0.939759,0.9285714,0.9512195,0.9285714
Port,0.9866667,0.9736842,1.0,0.9736842
RailwayStation,0.93877554,0.88461536,1.0,0.88461536
Resort,0.7941176,0.9310345,0.6923077,0.9310345
River,0.97619045,1.0,0.95348835,1.0
School,0.7307692,0.6333333,0.8636364,0.6333333
SparseResidential,0.9508197,0.96666664,0.9354839,0.96666664
Square,0.83870965,0.7878788,0.8965517,0.7878788
Stadium,0.9259259,0.86206895,1.0,0.86206895
StorageTanks,0.9444444,0.9444444,0.9444444,0.9444444
Viaduct,0.9882353,1.0,0.9767442,1.0
